sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Profile
0.036;2;;10s;Yes;No;1;0.95971;0.95971;0.04029;0.04029;0.95971;[ABMPAgent2@0];[0.9597117522430285];[0.9597117522430285];[party2_utility.xml]
0.002;2;;10s;Yes;No;1;0.72027;0.72027;0.27973;0.27973;0.72027;[Appaloosa@1];[0.7202704140750663];[0.7202704140750663];[party2_utility.xml]
0.008;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[BayesianAgent@2];[1.0];[1.0];[party2_utility.xml]
0.011;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[ABMPAgent2@3];[1.0];[1.0];[party2_utility.xml]
0.001;2;;10s;Yes;No;1;0.26212;0.26212;0.73788;0.73788;0.26212;[Appaloosa@4];[0.26211793021103924];[0.26211793021103924];[party2_utility.xml]
0.005;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[BayesianAgent@5];[1.0];[1.0];[party2_utility.xml]
0.006;2;;10s;Yes;No;1;0.98352;0.98352;0.01648;0.01648;0.98352;[ABMPAgent2@6];[0.9835232614447449];[0.9835232614447449];[party2_utility.xml]
0.001;2;;10s;Yes;No;1;0.62269;0.62269;0.37731;0.37731;0.62269;[Appaloosa@7];[0.6226865502775489];[0.6226865502775489];[party2_utility.xml]
0.005;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[BayesianAgent@8];[1.0];[1.0];[party2_utility.xml]
0.006;2;;10s;Yes;No;1;0.97619;0.97619;0.02381;0.02381;0.97619;[ABMPAgent2@9];[0.9761884907982836];[0.9761884907982836];[party2_utility.xml]
0.001;2;;10s;Yes;No;1;0.48699;0.48699;0.51301;0.51301;0.48699;[Appaloosa@10];[0.4869936921176344];[0.4869936921176344];[party2_utility.xml]
0.005;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[BayesianAgent@11];[1.0];[1.0];[party2_utility.xml]
0.005;2;;10s;Yes;No;1;0.98352;0.98352;0.01648;0.01648;0.98352;[ABMPAgent2@12];[0.9835232614447449];[0.9835232614447449];[party2_utility.xml]
0.001;2;;10s;Yes;No;1;0.29076;0.29076;0.70924;0.70924;0.29076;[Appaloosa@13];[0.29076154228315];[0.29076154228315];[party2_utility.xml]
0.007;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[BayesianAgent@14];[1.0];[1.0];[party2_utility.xml]
