sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
6.968;8520;;10s;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;BoulwareNegotiationParty@0;BoulwareNegotiationParty@1;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
1.174;1407;;10s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@2;BoulwareNegotiationParty@3;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@34532c16 failed: Failed to execute protocol: Execution failed of BoulwareNegotiationParty@5:java.lang.IllegalStateException: There is no evaluator for issue 0: There is no evaluator for issue 0:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.BoulwareNegotiationParty];10s;No;;0;;;;;;Appaloosa;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
4.516;5552;;10s;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@6;ConcederNegotiationParty@7;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.270;336;;10s;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;ConcederNegotiationParty@8;ConcederNegotiationParty@9;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@5182131f failed: Failed to execute protocol: Execution failed of ConcederNegotiationParty@11:java.lang.IllegalStateException: There is no evaluator for issue 0: There is no evaluator for issue 0:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.ConcederNegotiationParty];10s;No;;0;;;;;;Appaloosa;ConcederNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@66a7d14f failed: Failed to execute protocol: Execution failed of BoulwareNegotiationParty@12:java.lang.IllegalStateException: There is no evaluator for issue 0: There is no evaluator for issue 0:[negotiator.parties.BoulwareNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;BoulwareNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@3388b0da failed: Failed to execute protocol: Execution failed of ConcederNegotiationParty@14:java.lang.IllegalStateException: There is no evaluator for issue 0: There is no evaluator for issue 0:[negotiator.parties.ConcederNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;ConcederNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@9d1be38 failed: Failed to execute protocol: Execution failed of Appaloosa@16:java.lang.IllegalStateException: There is no evaluator for issue 0: There is no evaluator for issue 0:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;Appaloosa;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
6.968;7775;;10s;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;BoulwareNegotiationParty@18;BoulwareNegotiationParty@19;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
